DEPTH,DTCO,ECGR,HART,PEFZ,RHOZ,TNPH,Gelogical layer
M,us/ft,gAPI,ohm.m,B/E,g/cm3,m3/m3,
2207.057,73.166,36.884,2.016,4.214,2.437,0.149,1
2207.209,74.623,39.817,1.821,4.212,2.438,0.156,1
2207.362,74.979,42.094,1.758,4.182,2.434,0.163,1
2207.514,73.891,39.149,1.7,4.088,2.429,0.171,1
2207.666,74.385,36.679,1.641,3.98,2.421,0.172,1
2207.819,74.728,35.272,1.612,3.881,2.415,0.169,1
2207.971,74.833,35.423,1.613,3.847,2.406,0.168,1
2208.124,75.684,36.772,1.648,3.836,2.401,0.167,1
2208.276,75.623,37.659,1.633,3.861,2.401,0.16,1
2208.428,76.136,36.84,1.613,3.924,2.404,0.156,1
2208.581,77.696,34.138,1.518,3.973,2.411,0.158,1
2208.733,78.641,32.79,1.494,4.03,2.409,0.159,1
2208.886,76.045,32.779,1.52,4.057,2.403,0.158,1
2209.038,71.813,34.034,1.658,4.049,2.402,0.153,1
2209.19,71.927,35.449,1.894,4.015,2.412,0.147,1
2209.343,73.539,36.245,1.966,3.971,2.43,0.145,1
2209.495,75.387,35.201,1.875,3.959,2.437,0.153,1
2209.648,75.926,35.951,1.747,3.923,2.438,0.149,1
2209.8,76.389,37.374,1.658,3.941,2.425,0.155,1
2209.952,77.135,39.389,1.606,4,2.412,0.158,1
2210.105,76.878,39.443,1.585,4.075,2.405,0.165,1
2210.257,76.752,39.94,1.587,4.085,2.409,0.169,1
2210.41,76.216,38.235,1.624,4.04,2.417,0.173,1
2210.562,75.748,36.585,1.648,3.99,2.419,0.17,1
2210.714,75.694,35.782,1.679,3.94,2.419,0.171,1
2210.867,74.496,34.983,1.6,3.963,2.418,0.167,1
2211.019,74.235,33.455,1.601,4.047,2.42,0.164,1
2211.172,73.831,31.891,1.502,4.138,2.417,0.157,1
2211.324,73.577,33.426,1.437,4.174,2.406,0.153,1
2211.476,73.713,35.354,1.609,4.17,2.392,0.153,1
2211.629,75.372,35.957,1.982,4.177,2.391,0.15,1
2211.781,76.952,35.123,1.948,4.17,2.407,0.159,1
2211.934,78.751,36.284,1.726,4.145,2.422,0.166,1
2212.086,77.609,37.822,1.663,4.134,2.419,0.184,1
2212.238,77.497,38.808,1.627,4.141,2.401,0.18,1
2212.391,78.084,38.6,1.594,4.141,2.386,0.173,1
2212.543,76.141,37.259,1.581,4.141,2.382,0.167,1
2212.696,74.6,34.974,1.624,4.142,2.387,0.157,1
2212.848,71.717,35.015,1.97,4.139,2.399,0.142,1
2213,69.344,33.055,2.923,4.105,2.424,0.132,1
2213.153,69.135,31.802,3.445,4.04,2.475,0.123,1
2213.305,70.09,31.702,2.745,4.023,2.524,0.124,1
2213.458,73.218,35.001,2.148,4.054,2.549,0.128,1
2213.61,77.473,38.79,1.917,4.112,2.531,0.14,1
2213.762,80.289,40.815,1.725,4.123,2.499,0.168,1
2213.915,80.727,42.111,1.592,4.109,2.462,0.171,1
2214.067,80.483,42.825,1.645,4.106,2.428,0.182,1
2214.22,79.883,42.325,1.772,4.093,2.4,0.191,1
2214.372,78.134,40.704,1.837,4.082,2.39,0.183,1
2214.524,76.861,39.321,1.639,4.095,2.398,0.168,1
2214.677,75.518,37.314,1.652,4.129,2.41,0.163,1
2214.829,74.451,33.372,1.699,4.142,2.419,0.163,1
2214.982,73.381,31.648,1.634,4.11,2.429,0.159,1
2215.134,71.515,32.341,1.794,4.047,2.441,0.154,1
2215.286,72.805,34.204,1.936,4.014,2.447,0.141,1
2215.439,73.472,35.536,2.044,3.976,2.452,0.145,1
2215.591,74.375,36.972,2.039,3.991,2.449,0.155,1
2215.744,75.919,37.979,1.691,3.967,2.446,0.163,1
2215.896,76.171,38.563,1.634,3.955,2.433,0.174,1
2216.048,76.294,37.204,1.656,3.918,2.419,0.18,1
2216.201,76.418,35.659,1.648,3.916,2.408,0.178,1
2216.353,75.664,34.509,1.728,3.926,2.406,0.179,1
2216.506,75.362,31.986,1.716,3.953,2.406,0.177,1
2216.658,74.205,31.554,1.674,3.957,2.411,0.171,1
2216.81,74.188,31.136,1.696,4.013,2.415,0.167,1
2216.963,73.605,32.331,1.823,4.116,2.42,0.161,1
2217.115,73.394,31.251,1.995,4.203,2.426,0.154,1
2217.268,73.584,32.324,2.068,4.233,2.436,0.15,1
2217.42,73.672,34.994,2.06,4.238,2.445,0.153,1
2217.572,73.862,34.856,2.048,4.279,2.443,0.16,1
2217.725,74.705,34.069,1.928,4.253,2.44,0.16,1
2217.877,73.903,32.506,2.023,4.143,2.437,0.16,1
2218.03,73.47,30.557,2.05,4.025,2.439,0.151,1
2218.182,73.756,30.93,2.031,3.977,2.443,0.148,1
2218.334,73.339,34.005,1.845,3.991,2.443,0.155,1
2218.487,73.186,34.397,1.77,4.015,2.44,0.163,1
2218.639,73.534,33.25,1.767,4.017,2.435,0.16,1
2218.792,74.097,31.494,1.798,3.985,2.434,0.159,1
2218.944,74.446,32.653,1.832,3.934,2.433,0.164,1
2219.096,74.487,33.163,1.802,3.903,2.427,0.164,1
2219.249,74.571,33.188,1.84,3.931,2.416,0.156,1
2219.401,73.971,33.577,1.803,3.989,2.411,0.147,1
2219.554,74.609,31.634,1.815,4.028,2.417,0.142,1
2219.706,74.388,32.105,1.868,4.045,2.431,0.14,1
2219.858,73.921,32.694,1.914,4.044,2.443,0.144,1
2220.011,73.401,34.472,1.935,4.029,2.447,0.147,1
2220.163,72.676,34.509,1.81,3.959,2.448,0.151,1
2220.316,73.032,35.972,1.831,3.915,2.44,0.152,1
2220.468,73.467,37.501,1.786,3.901,2.43,0.162,1
2220.62,74.563,37.908,1.732,3.926,2.416,0.166,1
2220.773,74.936,36.015,1.75,3.906,2.412,0.154,1
2220.925,75.348,33.539,1.773,3.892,2.413,0.154,1
2221.078,73.845,30.693,1.982,3.924,2.417,0.14,1
